"ΝΟΜΑΡΧΙΑ","ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ","ΔΗΜΟΣ (Καλλικράτειος)","ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ","ΔΗΜΟΤΙΚΟ ΔΙΑΜΕΡΙΣΜΑ","ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ","ΣΥΝΟΙΚΙΣΜΟΣ","ΠΛΗΘΟΣ ΕΚΛΟΓΕΩΝ"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΝΕΑΣ ΙΩΝΙΑΣ,ΝΕΑΣ ΙΩΝΙΑΣ,,5ο ΝΕΑΠΟΛΗΣ,,"6,082"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΝΕΑΣ ΙΩΝΙΑΣ,ΝΕΑΣ ΙΩΝΙΑΣ,,6ο ΣΑΦΡΑΜΠΟΛΗΣ,,"5,548"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΝΕΑΣ ΙΩΝΙΑΣ,ΝΕΑΣ ΙΩΝΙΑΣ,,7ο ΠΕΡΙΣΣΟΥ,,"9,052"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,ΠΑΠΑΓΟΥ,,ΑΓΙΑΣ ΣΚΕΠΗΣ,,"12,413"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,ΧΟΛΑΡΓΟΥ,,1ο ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"6,915"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,ΧΟΛΑΡΓΟΥ,,2ο ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"8,307"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,ΧΟΛΑΡΓΟΥ,,3ο ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"7,733"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΝΤΕΛΗΣ,ΜΕΛΙΣΣΙΩΝ,,ΜΕΛΙΣΣΙΩΝ,,"13,525"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΝΤΕΛΗΣ,ΝΕΑΣ ΠΕΝΤΕΛΗΣ,,ΝΕΑΣ ΠΕΝΤΕΛΗΣ,,"4,873"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΝΤΕΛΗΣ,ΠΕΝΤΕΛΗΣ,,ΠΕΝΤΕΛΗΣ,,"4,248"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,ΝΕΟΥ ΨΥΧΙΚΟΥ,,1ο ΕΚΛ.ΔΙΑΜ.Δ.Ν.ΨΥΧΙΚΟΥ,,"3,915"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,ΝΕΟΥ ΨΥΧΙΚΟΥ,,2ο ΕΚΛ.ΔΙΑΜ.Δ.Ν.ΨΥΧΙΚΟΥ,,"5,867"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,ΦΙΛΟΘΕΗΣ,,1ο ΦΙΛΟΘΕΗΣ,,"6,911"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,ΨΥΧΙΚΟΥ,,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,,"10,025"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ,,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,,"4,738"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ,,ΝΕΟΥ ΧΑΛΑΝΔΡΙΟΥ-ΣΥΝΟΙΚΙΣΜΟΥ,,"6,214"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ,,ΠΟΛΥΔΡΟΣΟΥ,,"5,476"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ,,ΦΡΑΓΚΟΚΚΛΗΣΙΑΣ-ΠΑΤΗΜΑΤΟΣ,,"8,407"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ,,ΑΝΩ ΧΑΛΑΝΔΡΙΟΥ,,"6,169"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ,,ΚΑΤΩ ΧΑΛΑΝΔΡΙΟΥ-ΠΑΤΟΥΣΑΣ,,"10,731"
